Id	CharacterId	StanceName	HeatEngage	HeatSmash	PowerCrush	Throw	Homing	Tornado	HeatBurst	RequiresHeat	Command	HitLevel	Damage	StartUpFrame	BlockFrame	HitFrame	CounterHitFrame	Notes
31FEF89F-DE46-43BD-97AB-FEE806AE7DDC	alisa		0	0	0	0	1	0	0	0	des d+2	l	26	i22~23	-14	+4		"* homing
* chip damage on block"
3454366C-4191-4EBD-9CD6-C9CFC15DCDCA	alisa		0	0	0	0	0	0	0	0	dbt 1	h	30	i24	+9	+11g		"* transition to des
* chip damage on block"
35175CA6-D620-4E2F-9569-48CDBE83D92C	alisa		0	0	0	0	0	0	0	0	sbt 3	l	17	i16~20	-14c	+4c		
3566D672-D686-4B38-B5B5-E6C9262ADE4C	alisa		0	0	0	0	0	0	0	0	1+2+4	sp						
357B5A68-BFB6-4F87-8FA0-BFCFF57CA74E	alisa		1	0	0	0	0	0	0	0	1+2	m	22	i19~20	-4	+15		"* balcony break
* heat engager

* chip damage on block"
36956119-E618-49B6-919B-84821341CCF6	alisa		0	0	1	0	0	0	1	0	2+3	m	12 (12)	i16	+1	+2c		"* heat burst
* cancel to r45 with b,b
power crush 8~"
39D871A9-B693-4558-ADD4-09AD28B1B8AB	alisa		0	0	0	0	0	1	0	0	b+1,1+2	m,sl,m	15,1,30	,i25~40,i26~28	-16	+71		* tornado
3B344027-AA9D-4F2D-A067-A98886C3A860	alisa		0	0	0	0	0	0	0	0	f+1+2	m	25 (0)	i14~15	-12	+14		"* transition to sbt with f+1+2,3_4
* transition to dbt with f+1+2,f+3_f+4"
3D558A1E-9ABB-44B6-B8D7-6562675C5A85	alisa		0	0	0	0	0	0	0	0	db+2	m	10	i18~19	-18	-5		
3F3849CC-A6A8-4765-83D1-23F2E28895E2	alisa		0	0	0	0	0	0	0	0	dbt 2,1	mh	2513 (5)	i26~28	-11c	+18 (-17)		"-28 on whiff.
* spike
* transition to des
* chip damage on block"
40917638-4F72-4ECA-9A27-D64886BDBF70	alisa		0	0	0	0	0	0	0	0	des uf+1+2	m	27	i29~31	-9c	+23		"* transition to des
* chip damage on block
* cancel des with input des.uf+1+2,1+2"
4113B556-2BA9-49B1-8FA4-ACFA9F29A8C5	alisa		0	0	0	0	0	0	0	0	d+4	l	15	i17~18	-12	-1		
4277173D-9B0D-46DE-94CF-F788CE5843B0	alisa		0	0	0	0	0	0	0	0	ws3	m	18	i19~20	+4	+15		* cancel with input ws3,b
42C22A7E-4C4E-4652-8879-82B400358792	alisa		0	1	0	0	0	0	0	1	h 2+3	m	50 (28)	i20~21	+8	knd		"* alternate input: h.des.2+3
* heat smash
* transition to sbt with h.2+3,3_4 or h.des.2+3,f+3_f+4"
45C11C92-44B3-4869-BF12-9C977BFDED7A	alisa		0	0	0	0	1	0	0	0	f+4	m	14	i16	-9	+1		"* homing
* transition to des with f+4,1+2"
48E299F7-4357-4DC5-83D8-49D12F224280	alisa		0	0	0	0	0	0	0	0	sbt 4	m	22	i17~19	-27	+68		
49327E5B-E704-4518-847A-952F89CD0BC4	alisa		1	0	0	0	1	0	0	0	uf+2	h	22	i16~17	-2	+20 (+11)		"* balcony break
* heat engager

* homing
* chip damage on block
* transition to des on hit (does not transition when using heat dash)"
49AB6E8F-CD9B-4DEE-96E5-BC2196E3F004	alisa		0	0	0	0	1	0	0	0	b+3	m	22	i20~22	-8	+5 (-4)		"* balcony break
* homing"
4A8BBF39-93FA-4C12-B8EF-E4AF3CF8DB7C	alisa		0	0	0	0	0	0	0	0	sbt 1,2	m,m	12,13	,i18~19	-9	+2	+7	rest of the string is natural on counter hit.
4B8703D8-0B25-4F9A-912F-DC8654BE024F	alisa		0	0	0	0	0	1	0	0	1,2,2	h,h,h	5,10 (0),20	,i20~35	-9	+21 (+6)		"* tornado
* chip damage on block"
5032D5A6-1833-4EC9-ABD3-BE557FD0A7E9	alisa		0	0	0	0	0	0	0	0	b+1+3	sp						"* alternate input: b+2+4
parry state"
512255D7-56A4-43EB-8507-DB4A6C366EFD	alisa		0	0	0	0	0	0	0	0	f+2,3,3	m,h,m	12,8,22	,i35~36	-10	+12 (-3)		"* balcony break
* transition to des with f+2,3,1+2"
53EA18B8-689B-4B1A-96F9-D6A8FD134A83	alisa		0	0	0	0	0	0	0	0	u+1+2	m	21	i33~34	-5	+56		
541B7E7C-76FC-4468-8C46-354535436826	alisa		0	0	0	0	0	0	0	0	back throw	th(h)	55	i12~14				"* throw break: none
* opponent recovery on hit: fdfa
* side switch
* spike"
56F65E72-458F-490A-808C-FE352EF4C838	alisa		0	0	0	0	0	1	0	0	uf+1	mmm	20,14 (9),10 (7)	i19~20,i25,i17	-13	+68 (+52)		"* tornado
* transition to sbt on hit with uf+1,3_4
* transition to dbt on hit with uf+1,f+3_f+4
low crush"
586810E1-FA13-48EE-A058-48F4E2D0F0DF	alisa		0	0	0	0	0	0	0	0	uf+4,4	m,m	8,8	,i24~26	-13	+45 (+37)		
5AD98449-DA98-42BC-8005-CEBB84064F96	alisa		0	0	0	0	0	0	0	0	des 2	m	15	i20	-8	launch		"* transition to des
* chip damage on block"
5F7718F5-2D2D-447A-8F7C-4B67DAB6C8BF	alisa		0	0	0	0	0	0	0	0	d+4,1+2	l,h	15,20	,i20~21	0	+11 (+2)		* balcony break
5FF17318-8643-4383-8B67-7FD700F55142	alisa		0	0	0	0	0	0	0	0	b+3+4,3+4	m,m	22,25	,i56~61	+6c	+27 (-8)		* spike
6364ACBF-BF79-4D84-ACD6-6A7891FEBD14	alisa		0	0	0	0	0	0	0	0	des b+2	m	17	i18~20	-12	0	launch	* chip damage on block
64940348-AA6A-4FE4-B78A-ED0B940A3B22	alisa		0	0	0	0	0	0	0	0	b+1	m	15	i15~16	-5	+8		
66AE093E-C322-4F21-B3AF-4313780C6A6D	alisa		0	0	0	0	0	0	0	0	dbt 1+2	m	35	i12	0	+21 (+0)		"* balcony break
* transition to des
* chip damage on block"
67D80757-1E04-48BA-823D-2CE09CEDF778	alisa		0	0	0	0	0	0	0	0	3,f+2	m,m	10,20		-12	+5		"* chip damage on block
* transition to des"
69554259-85DA-456E-B8DC-6F80757BD8D7	alisa		0	0	0	0	0	0	0	0	2,2	h,h	10,22	,i20~35	-13	+15 (+5)		* balcony break
69B93DD7-19FE-4A02-A1B2-109171ECC543	alisa		0	0	1	0	0	0	0	0	ub+2	h	26	i16~24	-8	+38 (-20)		"* balcony break
power crush"
6ACA7F52-57E9-42CB-AF80-3CED0D00456F	alisa		0	0	0	0	0	0	0	0	ws3,3	m,m	1820	i13~14	-9	+12g		"* balcony break
* power up after 2 or more rotations"
6EA38268-0049-466A-AC60-451AF763036F	alisa		0	0	0	0	0	0	0	0	des f+3	sp						"* alternate input: des.f+4
* cancel with input dbt.b
* transition to evasive action with input dbt.u_d"
71BD6B8F-685B-4501-BBCC-34FF046B8E7E	alisa		0	0	1	0	0	0	0	0	b+1+2	m	25	i19~20	-13	+8		"* balcony break
* alternate input: des.b+1+2
* chip damage on block
power crush"
72793208-BC1F-4158-B9D9-9230274F06CA	alisa		0	0	0	0	0	0	0	0	f+2	m	12	i17~18	-4	+7		
73928540-1897-4879-9B28-589E39826CD4	alisa		0	0	0	0	0	0	0	0	f,f+2	m	18	i16~17	-18	+5		* balcony break
73ADF9D2-FAB7-43AE-8EAE-F982CE282A61	alisa		0	0	0	0	0	0	0	0	des f+1	h	21	i11~13	+3	+9		"* transition to des
* chip damage on block"
75026955-7E81-4596-8FBA-D6C9FD494529	alisa		0	0	0	0	0	0	0	0	des f+2,1	mm	9		-12	-3		* chip damage on block
78E2B0FC-D545-4E00-B036-A2D6FD53B64B	alisa		0	0	0	0	0	0	0	0	des bt 1	m	24	i19~22	-9	+25		"* alternate input: des.bt.2
* chip damage on block"
7BFBC115-D99B-4799-8F94-52DEAB1F45AB	alisa		0	0	0	0	0	0	0	0	db+1	sp						
7FDE8A07-0F65-44E8-85EF-0B09F29D6D1B	alisa		0	0	0	0	0	0	0	0	b,b,ub	sp						invulnerable during wall climb until alisa begins to turn and pushes off into airborne.
8323CFCD-C77D-42D6-979A-C0469E21E873	alisa		0	0	0	0	0	0	0	0	1,2	h,h	5,10 (0)	,i12	-3	+8		*jails
86B1BE11-5202-4C54-89A7-523DE88C51ED	alisa		0	0	0	0	0	0	0	0	2	h	10	i12	-6	+2		
8701FD4A-0C0A-4F61-B000-4AF969A0A1E2	alisa		0	0	0	0	0	0	0	0	sbt 1	m	12	i13~14	-15	0		
87ED4058-5600-4226-B9F0-AD5B5DF38477	alisa		0	0	0	0	0	0	0	0	f,f+3,4	m,h	12,15	,i19~20	-10	+20 (+11)		"* balcony break
* transition to des with input f,f+3,4,1+2
*jails"
892D55FE-93FA-4A20-8CD7-87BB0B9E1A15	alisa		0	0	0	0	0	0	0	0	2,3,3	h,m,m	10,8,25	,i20~22	-11	+16 (-7)		"* balcony break
airborne"
8BD8DE79-FB86-4DC1-9DED-4C95DC9C0483	alisa		0	0	0	0	0	0	0	0	b+2	m	12	i18	-9	+1		
8E21E43F-EA6B-45CF-A940-063D7A213B24	alisa		0	0	0	0	0	0	0	0	dbt 3	l	17	i6~20	-14c	+4c	+28 knd	
8ED5A7EA-C9B2-4433-BC46-40B1B4D002F3	alisa		0	0	0	0	0	1	0	0	bkp 4	m	30	i19	-9	+32 (+22)		"spacing affects advantage on hit and block.
* tornado"
8F00F723-CDD4-4C77-B3BF-7C940F839CC2	alisa		0	0	0	0	0	0	0	0	f,f,f+3,4	m,m	15,20	,i20~22	-7	+31 (+5)		* balcony break
8F2CCC9F-E7B3-4D3A-BE93-6AB56806E4A5	alisa		0	0	0	0	0	0	0	0	f+4,1	m,h	14,14	,i25~26	-9	+15 (+7)		* balcony break
901D011B-EA3B-47C9-B553-2BB572A9726B	alisa		0	0	0	0	0	0	0	0	1+2+3	sp						
9050ACF4-2200-464F-B719-ED3490072963	alisa		1	0	0	0	0	0	0	0	f+2,1	m,m	12,20	,i24~25	-10	+14		"* balcony break
* heat engager

* chip damage on block
* transition to des with f+2,1+2 (does not transition when using heat dash)"
937F188E-0E3B-4499-936A-F6C85CB3FE6A	alisa		0	0	0	0	0	0	0	0	d+2	m	14	i24~26	-12	+2c		
938FC924-522A-46D1-88ED-EBCD78B530EF	alisa		0	0	0	0	0	0	0	0	db+2,2	m,m	10,10	,i19~20	-9	+5		* transition to des with input db+2,2,1+2
94851321-9FFB-4E2B-B969-D50882DCFFE5	alisa		0	0	0	0	0	0	0	0	b+2,4	m,h	12,20	,i16~17	-7	+12g		* balcony break
94E79671-3AFC-4A28-9B97-92CFE732EA54	alisa		0	0	0	0	0	1	0	0	ws2	m	24	i17~18	-13	+33 (+23)		"* tornado
* transition to sbt with input ws2,3_4
* transition to dbt with input ws2,f+3_f+4"
958DE012-034E-43E5-BBA5-6FFA6A454FD6	alisa		0	0	1	0	0	0	0	0	r df+1+2	m						"* alternate input: r.des.df+1+2
* [[:template:rageart]]
* erases opponent&#x27;s recoverable health on hit
power crush"
987ECFC6-6C90-439E-8389-8F525C7AC2D1	alisa		0	0	0	0	0	0	0	0	uf+4	m	8	i15~16	-15	-4		
99118EC7-A253-4A89-9CB1-625071AB21F6	alisa		0	0	0	0	0	0	0	0	ws1	m	12	i13~14	-12	+1		
9B67DA22-A311-4C75-8C4E-FD185EA8039D	alisa		0	0	0	0	0	0	0	0	f+2,3	m,h	12,8	,i22	-8	+4		
9F0F5244-6D76-4A8F-B590-8E9770B689CD	alisa		0	0	0	0	0	0	0	0	left throw	th(h)	40	i12~14		-5		"* throw break: 1
* opponent recovery on hit: fdfa"
9F1D3BB5-0E6F-4BFC-9F61-E676A882490C	alisa		0	0	0	0	0	0	0	0	bt 4	m	20	i16~17	-3	+19 (+2)		* balcony break
A0532DAC-57DA-4B58-B926-E539DC0A0722	alisa		0	0	0	0	0	1	0	0	b+2,3	m,m	12,22	,i23~24	-15	+9 (-8)		"airborne
* balcony break
* tornado"
A053F3B4-5A39-4575-AF9B-881960B48EC0	alisa		0	0	0	0	0	0	0	0	ws4	m	15	i11~12	-5	+6		"* balcony break
* power up after 2 or more rotations"
A2BBD8C7-A5A3-4D3A-B1D5-88E4586FDF4A	alisa		0	0	0	0	0	0	0	0	f,f+1+2	mm	5,10	i17~18,i12~13	-9	+4		
A6B0D8A0-4351-47E5-87FF-71742C946CBA	alisa		0	0	0	0	1	0	0	0	des 1+2	h,h,h	7,7,20	i16~18,i5~7,i9~11	+4	+15g		"* balcony break
* homing
* transition to des
* chip damage on block
* jails"
A7495FAE-14BD-43DB-B568-9B4B11CF40C5	alisa		0	0	0	0	0	0	0	0	f,f,f+1+2	m	24	i18~36	-3	-17 (-26)		* balcony break
AAA30BCF-1B5A-4E5B-B9E5-434877890164	alisa		0	0	0	0	1	0	0	0	d+3+4	l	20	i27~i28	-37	+67 (+51)		"* homing
* transition to des with input d+3+4,1+2"
AAF1D0E0-4D56-4EF8-B35C-0E092F713A42	alisa		0	0	0	0	0	0	0	0	db+4	l	23	i24~25	-17	+9		
ABC6DE9C-1F74-448C-8EF5-7F1A6490DCF9	alisa		0	0	0	0	0	0	0	0	df+2	m	16	i16~17	-9	+32a (+22)		
AF7E546A-3439-428D-A055-9E1A2518430E	alisa		0	0	0	0	0	0	0	0	f,f,f+3	m	15	i18~19	-4	+6		
AFD9293A-D99C-4298-88CB-21834DB9B941	alisa		0	0	0	0	0	0	0	0	sbt 2	m	25	i16~17	-7	+6 (-4)		"* balcony break
* transition to des with input sbt.2,1+2"
B04C8159-CF95-4A0E-BFA4-A9A7F6CE62B5	alisa		0	0	0	0	0	0	0	0	sbt d	sp						"* alternate input: sbt.b
* transition to bkp"
B2022F2B-6392-48A4-A22E-3BDA74421CA1	alisa		0	0	0	0	0	0	0	0	dbt f+2,2	l,m	16,14 (9)	i35~37	-33	-6 (-13)		"* balcony break
* chip damage on block"
B41E71BB-AA68-4CE4-B0CB-A13809B01F13	alisa		0	0	0	0	0	0	0	0	d+3	l	17	i23~32	-10	-1		"goes into airborne then standing
* transition to bkp"
B58F6E50-2713-46D8-8670-5B2C1AAFF1E7	alisa		0	0	0	0	0	1	0	0	b+3+4	m	22	i18~19	-17	+32 (+22)		* tornado
B892491C-E5CF-4B20-AD9D-EBCB00F98099	alisa		0	0	0	0	0	0	0	0	des 1	m	35	i13	-9	+23		"* transition to des
* chip damage on block"
B89F50C8-ADB1-46CB-8C7B-44CBC7EEC04E	alisa		0	0	0	0	0	0	0	0	des d+1	l	20	i21	-12	+4		"* transition to des
* chip damage on block"
BA254D54-5957-4468-991D-F8894A70CFDA	alisa		0	0	0	0	0	0	0	0	right throw	th(h)	40	i12~14				"* throw break: 2
* opponent recovery on hit: fufa perpendicular to alisa
* spike"
BCFF963E-4E42-4089-82C6-8EAD66EAE626	alisa		0	0	0	0	0	0	0	0	b+4,3	m,m	17,20	,i29~30	-11	+6c		"airborne
* transition to des with input b+4,3,1+2"
BD2CEBB6-1961-4956-B07D-919DEE7FC972	alisa		0	0	0	0	0	0	0	0	f,f,f+2	h	30	i13~15	+5	+28 (+20)		"* balcony break
* chip damage on block
* transition to des with input f,f,f+2,1+2"
BDF22275-D774-4B83-9AA7-917B473FAA98	alisa		0	0	0	0	0	0	0	0	2,3	h,m	10,8	,i22~23	-10	+1		
C003C922-F1A8-4D4A-955C-4765CE81CFED	alisa		0	0	0	0	0	0	0	0	des 3	sp						"* alternate input: des.4
* transition to des"
C04E5ACA-4E05-4BBA-B210-67CC6EC3296D	alisa		0	0	0	0	0	0	0	0	ws3,d+3	m,l	1820	i30~31	-12	+73 (+57)		
C04F4A40-E0DB-47A8-9CA5-78181D95BE33	alisa		0	0	0	0	0	0	0	0	1,1	h,h	5,18 (0)	,i21	-3	+5		* transition to des with 1,1,1+2
C04FC2E3-2DED-401D-8B1F-978A8991874C	alisa		0	0	0	0	0	0	0	0	b+4	m	17	i15~16	-13	-4		
C12D001C-38C3-4C22-8A3B-4AFF6A7C5FC7	alisa		0	0	0	0	0	0	0	0	f,f+3,4,4	m,h,m	12,15,17 (11)	,i27~29	-10	+21 (+14)		"* balcony break
* transition to des with input f,f+3,4,4,1+2"
C3C6CBDB-19F6-4395-9D20-90BDD8D3E8BB	alisa		0	0	0	0	0	0	0	0	b+2+3	ub (m)	50	i75~76	+44	+44		* balcony break
C450BDEF-2E9E-4179-91A7-E28A249A9259	alisa		0	0	0	0	0	0	0	0	dbt f+1	m	49	i19~21	-11	+0 knd		"* chip damage on block
* throw on front hit"
C50108AA-86CB-4226-8763-16B200710013	alisa		0	0	0	0	0	0	0	0	d+2,4	m,m	14,24	,i18~21	-9	+28 (+13)		"airborne
* transition to des with input d+2,4,1+2"
C590F050-7C79-4903-9DAA-D3C2524D221B	alisa		0	0	0	0	0	0	0	0	des uf+2	h	7	i10~14		+25 (+18)		"* transition to des
* only hits airborne opponents"
C5CE61BC-B97E-4556-9510-09361E1303A6	alisa		0	0	0	0	0	0	0	0	df+1	m	10	i13	-6	+5		
C6EACCCD-97BA-4839-9883-E59EF82B8760	alisa		0	0	0	0	0	1	0	0	bkp 2	h	34	i11~33	-9	+21 (+6)		"-4/less negative on block when farther away. +25 (+10) on hit when far.
* tornado
* chip damage on block"
C9CFAE18-5D0D-42C2-821E-2C84B5EA364A	alisa		0	0	0	0	0	0	0	0	dbt 4	m	22	i17~19	-27	+68		
CA796F84-6669-4085-82B1-466732A4C438	alisa		0	0	0	0	0	0	0	0	des f+2	m	9	i15	-9	0		* chip damage on block
CA982018-2A7E-4987-8442-857F4B6884E5	alisa		0	0	0	0	0	0	0	0	d+1+2	sp						* cancel des with des.d+1+2 or des.db
CAC685D7-6673-4182-A35B-4188FDF2B3F3	alisa		0	0	0	0	0	0	0	0	ub+3+4,1+2	m,m	25,20	,i26~27	-14	+32 (+22)		
CAFEF10D-397D-479A-AEF2-C3A5A2CBA13F	alisa		0	0	0	0	0	0	0	0	df+1,1	m,h	10,20	,i30~31	+1	+8		
CB0275FC-3C39-4DE5-A79B-F03505496FE5	alisa		0	0	0	0	0	0	0	0	df+1,1,2	m,h,h	10,20,48	,i22~25	+6	+8		"* chip damage on block
* transition to des"
CB302B6E-3032-4C79-A1CC-F6EC36864480	alisa		0	0	0	0	0	0	0	0	1+2+3+4	sp						"* transition to des with input 1+2+3+4,1+2
* transition to charged state"
CC5F8B9C-DAE5-4166-ACFB-EAD1CCF67520	alisa		0	0	0	0	0	0	0	0	f+4,1,4	m,h,m	14,14,19 (13)	,i35	-12	-1 (-9)		"i25-26 bounce, i25-26 travel,
(---)/i35(27-65) travel then explosion ,
-3(-11) and -1(-9) for explosion then hit, respectively"
CC700E62-1918-47A7-93F0-51A8FB8203F2	alisa		0	0	0	0	0	0	0	0	fc db+1+2	th(h)	45	i11		-4		"* throw break: 1+2
* opponent recovery on hit: fufa
* side switch"
CE1527E8-36A4-4523-8D97-DFAB89556C73	alisa		0	0	0	0	0	0	0	0	uf+1+2	th(h)	40	i12~13		+3		"* throw break: 1+2
* opponent recovery on hit: fuft"
CE2776E9-0BA6-4F8E-8FAF-EB5CFE1AD35D	alisa		0	0	0	0	0	0	0	0	df+3	m	14	i16	-9	+1		
D063EB10-39C5-4895-BD8A-CB696952EC92	alisa		0	0	0	0	1	0	0	0	4	h	24	i13~14	-5	+14g		"* balcony break
* homing"
D0ED810C-0F9F-4357-B3F9-E1FCC488E483	alisa		0	0	0	0	0	0	0	0	bkp 1	h	31	i11~13	+4	+27 (+1)		"* balcony break
* chip damage on block"
D11B8E9F-1DAA-48CE-B112-3A4DF102D343	alisa		0	0	0	0	0	0	0	0	ss 4	l	15	i24~25	-12	+2		
D18EB8AA-0282-4116-B529-D58011FFB4BF	alisa		0	0	0	0	0	0	0	0	des b+3	sp						"* alternate input: des.b+4 or des.ub,b
* transition to des"
D32C078D-6D85-44DA-B046-349CD518CC0F	alisa		0	0	0	0	0	0	0	0	f+3	h	10	i14~15	-14	-3		
D58DFEB7-0E74-4F84-A1BF-3ED8E0C9E9B1	alisa		0	0	0	0	0	0	0	0	sbt 1+2	ub(h)	20	i27~28	+8	+8		"* balcony break
* transition to des"
D5E9A5DA-9846-4EE4-9CCC-2BFDF9A8DD01	alisa		0	0	0	0	0	0	0	0	des f+1+2	m	12	i23~27	+5	+33		* chip damage on block
D677F421-C03A-4EBA-9338-D1398FF078DF	alisa		0	0	0	0	0	1	0	0	des 2,(on hit)1	m,ub	1514 (9)	i33		+85 (+69)		* tornado
D81EED5C-F820-4B40-AA99-C20BDBA85C72	alisa		0	0	0	0	0	0	0	0	ub+3+4	m	25	i37~39	+2c	+25 knd		
DBB04DCC-C1FE-471C-B4C8-1A0350679C71	alisa		0	0	0	0	0	0	0	0	f,f+4	mm	14,22	i22~29,i34~39	-9	+9 (+0)		"* balcony break
* transition to hit throw on front hit
* alternative input: f,f+4:1 to power up"
DC0A01E0-6E17-4F4F-B4DD-B7AD4B94D6E8	alisa		0	0	0	0	0	0	0	0	b,b+1+4	ub(h)	50	i68		+42 (-15)		* balcony break
DFEAB644-E323-448A-B8D7-29933A903974	alisa		0	0	0	0	0	0	0	0	dbt f+2	l	16	i19~20	-16c	-6		
E37B6378-D15E-410D-97ED-749B390A9A6D	alisa		0	0	0	0	0	0	0	0	sbt 1,2,1	m,m,m	12,13,7	,i20~21	-12	-20	-12	less safe on hit than on block without ch.
